lam_obs_vac_nm,err_lam_obs_vac_nm,lam_ritz_vac_nm,err_lam_ritz_vac_nm,rel_intensity,einstein_aki,ion_name
  338.054840,  0.000070,  338.054748,  0.000005,1.100000e+01,3.200000e+07,Ar II     
  338.203400,  0.000600,  338.203709,  0.000003,1.000000e+00,0.000000e+00,Ar II     
  338.310400,  0.000600,  338.310297,  0.000003,3.000000e+00,0.000000e+00,Ar II     
  338.483700,  0.000600,  338.484051,  0.000009,1.000000e+00,0.000000e+00,Ar II     
  338.950338,  0.000010,  338.950351,  0.000008,1.950000e+02,1.900000e+08,Ar II     
  339.231700,  0.000600,  339.231831,  0.000003,5.000000e-01,0.000000e+00,Ar II     
  339.281813,  0.000010,  339.281813,  0.000020,1.290000e+02,1.900000e+07,Ar III    
  339.797700,  0.000600,  339.797692,  0.000003,1.000000e+00,0.000000e+00,Ar II     
  339.858300,  0.000600,  339.858604,  0.000017,1.000000e+00,0.000000e+00,Ar II     
  339.887060,  0.000060,  339.887054,  0.000005,8.000000e+00,2.700000e+06,Ar II     
  340.727500,  0.000600,  340.727358,  0.000003,3.000000e+00,0.000000e+00,Ar II     
  340.932800,  0.000600,  340.933191,  0.000020,5.000000e-01,0.000000e+00,Ar II     
  341.039100,  0.000600,  341.039600,  0.000090,1.000000e+00,0.000000e+00,Ar II     
  341.067700,  0.000600,  341.068031,  0.000021,2.000000e+00,0.000000e+00,Ar II     
  341.451000,  0.003000,  341.450600,  0.001500,6.000000e+00,0.000000e+00,Ar III    
  341.543730,  0.000080,  341.543737,  0.000005,9.000000e+00,7.700000e+06,Ar II     
  341.754000,  0.000600,  341.754000,  0.000600,1.000000e+00,0.000000e+00,Ar II     
  341.847000,  0.003000,  341.846500,  0.001500,7.000000e+00,0.000000e+00,Ar III    
  342.259200,  0.000040,  342.259157,  0.000005,2.200000e+01,9.300000e+06,Ar II     
  342.523000,  0.003000,  342.521020,  0.000070,9.000000e+00,1.000000e+07,Ar III    
  342.648200,  0.000600,  342.648073,  0.000018,2.000000e+00,0.000000e+00,Ar II     
  343.059710,  0.000040,  343.059764,  0.000005,2.000000e+01,2.200000e+07,Ar II     
  343.101000,  0.003000,  343.095200,  0.001500,2.000000e+00,0.000000e+00,Ar III    
  343.139830,  0.000030,  343.139856,  0.000004,2.600000e+01,6.200000e+06,Ar II     
  343.197500,  0.000200,  343.197551,  0.000005,5.000000e+00,0.000000e+00,Ar II     
  343.272100,  0.000600,  343.272058,  0.000005,2.000000e+00,0.000000e+00,Ar II     
  343.356790,  0.000190,  343.356723,  0.000005,5.000000e+00,0.000000e+00,Ar II     
  343.435300,  0.000600,  343.435000,  0.000500,1.000000e+00,0.000000e+00,Ar II     
  343.675800,  0.000600,  343.676089,  0.000021,1.000000e+00,0.000000e+00,Ar II     
  343.791000,  0.002000,  343.781660,  0.000150,6.000000e+00,0.000000e+00,Ar III    
  343.903000,  0.003000,  343.900260,  0.000060,8.000000e+00,6.200000e+06,Ar III    
  344.008000,  0.000600,  344.007600,  0.000400,1.000000e+00,0.000000e+00,Ar II     
  344.827800,  0.000600,  344.827862,  0.000012,1.000000e+00,0.000000e+00,Ar II     
  344.926900,  0.000600,  344.926957,  0.000023,1.000000e+00,0.000000e+00,Ar II     
  345.508447,  0.000010,  345.508455,  0.000005,7.600000e+01,3.140000e+07,Ar II     
  346.206000,  0.010000,  346.207000,  0.001000,7.000000e+00,6.700000e+04,Ar I      
  346.677560,  0.000050,  346.677558,  0.000008,1.400000e+01,0.000000e+00,Ar II     
  346.732570,  0.000010,  346.732570,  0.000007,9.100000e+01,0.000000e+00,Ar II     
  347.125430,  0.000060,  347.125477,  0.000004,1.200000e+01,0.000000e+00,Ar II     
  347.231000,  0.003000,  347.228680,  0.000090,9.000000e+00,6.000000e+06,Ar III    
  347.259400,  0.000600,  347.259035,  0.000005,3.000000e+00,0.000000e+00,Ar II     
  347.360000,  0.005000,  347.356105,  0.000018,6.000000e+00,2.000000e+07,Ar III    
  347.774248,  0.000010,  347.774249,  0.000005,4.270000e+02,1.250000e+08,Ar II     
  347.922736,  0.000010,  347.922742,  0.000006,1.000000e+02,0.000000e+00,Ar II     
  348.149834,  0.000010,  348.149825,  0.000018,1.000000e+03,1.600000e+08,Ar III    
  348.150700,  0.000600,  348.150146,  0.000005,9.000000e+00,0.000000e+00,Ar II     
  348.258800,  0.000600,  348.258700,  0.000600,1.000000e+00,0.000000e+00,Ar II     
  348.512000,  0.003000,  348.511900,  0.001800,3.000000e+00,0.000000e+00,Ar III    
  348.831360,  0.000070,  348.831350,  0.000004,6.000000e+00,2.700000e+06,Ar II     
  348.918600,  0.000600,  348.918784,  0.000019,1.000000e+00,0.000000e+00,Ar II     
  349.187190,  0.000020,  349.187200,  0.000005,4.500000e+01,0.000000e+00,Ar II     
  349.224280,  0.000010,  349.224283,  0.000005,3.890000e+02,1.790000e+08,Ar II     
  349.253477,  0.000010,  349.253477,  0.000005,1.000000e+03,2.310000e+08,Ar II     
  349.527000,  0.002000,  349.515770,  0.000120,2.000000e+00,0.000000e+00,Ar III    
  349.677500,  0.000600,  349.675848,  0.000018,1.000000e+00,0.000000e+00,Ar II     
  349.810000,  0.003000,  349.809800,  0.001800,4.000000e+00,0.000000e+00,Ar III    
  350.047710,  0.000070,  350.047711,  0.000006,8.000000e+00,3.000000e+05,Ar II     
  350.067056,  0.000010,  350.067048,  0.000018,2.690000e+02,1.300000e+08,Ar III    
  350.095800,  0.000600,  350.096865,  0.000004,5.000000e-01,0.000000e+00,Ar II     
  350.158000,  0.005000,  350.157564,  0.000017,5.000000e+00,2.600000e+07,Ar III    
  350.368484,  0.000010,  350.368495,  0.000016,9.300000e+01,4.300000e+07,Ar III    
  350.459167,  0.000010,  350.459167,  0.000014,4.680000e+02,1.200000e+08,Ar III    
  351.033704,  0.000010,  351.033705,  0.000017,2.450000e+02,0.000000e+00,Ar III    
  351.078176,  0.000010,  351.078180,  0.000009,4.470000e+02,2.550000e+08,Ar II     
  351.215271,  0.000010,  351.215272,  0.000017,1.175000e+03,0.000000e+00,Ar III    
  351.267144,  0.000010,  351.267148,  0.000014,8.900000e+01,2.600000e+07,Ar III    
  351.520540,  0.000010,  351.520541,  0.000017,7.240000e+02,0.000000e+00,Ar III    
  351.539244,  0.000010,  351.539238,  0.000005,4.900000e+02,1.360000e+08,Ar II     
  351.889560,  0.000100,  351.889481,  0.000006,4.000000e+00,7.000000e+04,Ar II     
  352.099978,  0.000010,  352.099979,  0.000004,1.910000e+02,5.200000e+07,Ar II     
  352.226681,  0.000010,  352.226671,  0.000005,1.000000e+02,2.270000e+07,Ar II     
  352.256200,  0.000600,  352.256649,  0.000004,1.000000e+00,0.000000e+00,Ar II     
  352.298429,  0.000010,  352.298424,  0.000007,7.100000e+01,0.000000e+00,Ar II     
  353.218700,  0.000600,  353.219133,  0.000009,2.000000e+00,0.000000e+00,Ar II     
  353.324300,  0.000600,  353.324924,  0.000005,1.000000e+00,0.000000e+00,Ar II     
  353.632983,  0.000010,  353.632972,  0.000005,1.700000e+02,5.700000e+07,Ar II     
  354.023000,  0.002000,  354.020930,  0.000110,3.000000e+00,0.000000e+00,Ar III    
  354.415910,  0.000030,  354.415932,  0.000004,2.600000e+01,0.000000e+00,Ar II     
  354.660827,  0.000010,  354.660823,  0.000004,8.910000e+02,3.400000e+08,Ar II     
